patent_num,abstract,applicant_city,applicant_country,applicant_name,applicant_num,applicant_state,assignee_loc,assignee_name,cpc,family_id,file_date,inventors,patent_date,title,url
10349422,"In one embodiment, a server of a first wireless communication network receives a wireless communication originated by a terminal of the first wireless communication network, the wireless communication containing a current geographic location of the terminal as determined by the terminal. The server may then determine acceptable communication parameters for the terminal to communicate on the first wireless communication network, e.g., based on preventing transmission by the terminal that might interfere with operation of one or more unintended receivers. The server then generates an instruction message for the terminal based on the acceptable communication parameters, and transmits the instruction message toward the terminal to cause the terminal to only continue transmitting according to acceptable communication parameters.",Palo Alto,US,Higher Ground LLC,"15/455,687",CA,"Palo Alto, CA",Higher Ground LLC,"['H04W', 'H04B', 'H04L']",1000004139018,"March 10, 2017","[['Robert S.', 'Reis', 'Palo Alto, CA'], ['Mark E.', 'Russell', 'Pine Grove, CA'], ['Shmuel', 'Shaffer', 'Palo Alto, CA']]","July 9, 2019",Server participation in avoidance of interference in wireless communications,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=3&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10349418,"Aspects of the subject disclosure may include, for example, a wireless communication node that receives instructions in a control channel directing it to utilize a spectral segment at a first carrier frequency to communicate with a mobile communication device. Responsive to the instructions, the wireless communication node receives a modulated signal in the spectral segment at a second carrier frequency from the base station, the modulated signal including communications data provided by the base station. The wireless communication node down-shifts the modulated signal at the second carrier frequency to the first carrier frequency, and wirelessly transmits the modulated signal at the first carrier frequency to the mobile communication device. Other embodiments are disclosed.",Atlanta,US,"AT&T; INTELLECTUAL PROPERTY I, LP","15/176,616",GA,"Atlanta, GA","AT&T; Intellectual Property I, L.P.","['H04W', 'H04L']",1000004139014,"June 8, 2016","[['Irwin', 'Gerszberg', 'Kendall Park, NJ']]","July 9, 2019",Method and apparatus for managing utilization of wireless resources via use of a reference signal to reduce distortion,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=4&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10349318,"The present disclosure relates to a communication method and system for converging a 5th-Generation (5G) communication system for supporting higher data rates beyond a 4th-Generation (4G) system with a technology for Internet of Things (IoT). The present disclosure may be applied to intelligent services based on 5G communication technology and IoT-related technology, such as smart home, smart building, smart city, smart car, connected car, health care, digital education, smart retail, security and safety services. A handover method of a terminal in a mobile communication system according to the present disclosure includes transmitting UE capability information including a random access-free handover indicator to a first base station, receiving a handover command message from the first base station, and transmitting, when the handover command message includes uplink resource information, a handover complete message to a second base station based on the uplink resource information.",Gyeonggi-do,KR,"Samsung Electronics Co., Ltd.","15/649,558",N/A,"Suwon-si, KR","Samsung Electronics Co., Ltd.",['H04W'],1000004138917,"July 13, 2017","[['Sangbum', 'Kim', 'Suwon-si, KR'], ['Donggun', 'Kim', 'Seoul, KR'], ['Alexander', 'Sayenko', 'Seoul, KR'], ['Jaehyuk', 'Jang', 'Suwon-si, KR'], ['Soenghun', 'Kim', 'Suwon-si, KR'], ['Gert Jan', 'Van Lieshout', 'Apeldoorn, NL']]","July 9, 2019",Access control method and apparatus for use in mobile communication,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=5&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10349295,"Communication network architectures, systems and methods for supporting a network of mobile nodes. As a non-limiting example, various aspects of this disclosure provide communication network architectures, systems, and methods for supporting a dynamically configurable communication network comprising a complex array of both static and moving communication nodes (e.g., the Internet of moving things).",Mountain View,US,"Veniam, Inc.","15/644,377",CA,"Mountain View, CA","Veniam, Inc.","['H04W', 'H04L']",1000004138894,"July 7, 2017","[['Rui Miguel', 'Correia e Costa', 'Sintra, PT'], ['Ricardo Jorge', 'Magalhaes de Matos', 'Oporto, PT']]","July 9, 2019",Systems and methods for calculating the user QoE based on WiFi sessions over multiple networks in a network of moving things,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=6&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10349285,"Wireless devices may be enabled to operate at lower frequencies and higher frequencies such as 30, 40, 70 GHz gigahertz all the way up to 300 GHz or more. Short range communication may be enabled between devices. Cellular communication is enabled to operate in private unlicensed spectrum. Vehicles may take actions or present data based on the communication between vehicles. Autonomous self-driving vehicles which form a self-driving unit may send commands around how to drive in unison such that a car in front braking would cause the car behind it to also brake. These cars may use millimeter wave length communication to signal quickly. Information may be broadcast via WiFi or cellular to other devices on observations including road conditions or traffic. A first vehicle can receive a stream over a local wireless network from a second vehicle where the second vehicle has received the data from a cellular network.",Palo Alto,US,Rao; Sanjay K.,"15/671,477",CA,,,['H04W'],1000002833948,"August 8, 2017","[['Sanjay K.', 'Rao', 'Palo Alto, CA']]","July 9, 2019","Communication networks including 5G, cellular, and short-rang millimeter wavelength for wireless devices and autonomous self-driving vehicles",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=7&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10349227,"Various systems and methods for a personal safety system are described herein. A personal safety system includes an alert detection module to receive, at a device, input indicating an alert event; and a communication module to: transmit information regarding the alert event to a cloud service; and broadcast wireless network information of a wireless environment around the device, obtained by the device, to a plurality of devices in the wireless environment.",Santa Clara,US,Intel Corporation,"14/929,952",CA,"Santa Clara, CA",Intel Corporation,['H04W'],1000004138836,"November 2, 2015","[['Paritosh', 'Saxena', 'Portland, OR'], ['David I', 'Poisner', 'Carmichael, CA'], ['Nicholas', 'Triantafillou', 'Portland, OR'], ['Casey', 'Baron', 'Chandler, AZ']]","July 9, 2019",Personal safety system,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=8&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10349218,"Systems and methods for an in-vehicle base station are described. In one embodiment, a method is disclosed, comprising: broadcasting, using the first access radio, the cellular access network at a first power; transmitting the location of the mobile base station to the cellular network; detecting, at the processor, a transition of the mobile base station from a stationary state to a moving state; reducing, at the first access radio, a transmit power of the cellular access network while in the moving state for disabling the cellular access network outside the vehicle; and increasing, at the first access radio, the transmit power of the mobile base station when exiting the moving state.",Nashua,US,"Parallel Wireless, Inc.","15/913,618",NH,"Nashua, NH","Parallel Wireless, Inc.",['H04W'],1000004138830,"March 6, 2018","[['Murali', 'Talluri', 'Shirley, MA'], ['Kaitki', 'Agarwal', 'Westford, MA'], ['Rajesh Kumar', 'Mishra', 'Westford, MA'], ['Sumit', 'Garg', 'Hudson, NH']]","July 9, 2019",Enhanced mobile base station,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=9&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10349197,"According to an aspect of an embodiment, an audio generation method includes: receiving an audio signal through at least one microphone; generating an input channel signal corresponding to each of the at least one microphone based on the received audio signal; generating a virtual input channel signal based on the input channel signal; generating additional information including reproduction locations of the input channel signal and the virtual input channel signal; and transmitting a multi-channel audio signal and the additional information, the multi-channel audio signal including the input channel signal and the virtual input channel signal.",Suwon-si,KR,"SAMSUNG ELECTRONICS CO., LTD.","15/503,521",N/A,"Suwon-si, KR","SAMSUNG ELECTRONICS CO., LTD.","['H04S', 'G10L']",1000004138815,"August 13, 2015","[['Hyun', 'Jo', 'Seoul, KR'], ['Sun-min', 'Kim', 'Yongin-si, KR'], ['Jae-ha', 'Park', 'Suwon-si, KR'], ['Sang-mo', 'Son', 'Suwon-si, KR']]","July 9, 2019",Method and device for generating and playing back audio signal,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=10&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10348985,"A turbulence-free CCD camera system with nonclassical imaging resolution, for applications in long-distance imaging, such as satellite and aircraft-to-ground based distant imaging, utilizing an intensity-fluctuation correlation measurement of thermal light. The proposed camera system has the following advantages over classic imaging technology: (1) it is turbulence-free; (2) its spatial resolution is mainly determined by the angular diameter of the light source. For example, using sun as the light source, this camera may achieve a spatial resolution of 200 micrometer for any object on Earth. 200-micrometer resolution is insignificant for short distance imaging, however, taking a picture of a target at 10-kilometer, a classic camera must have a lens of 90-meter diameter in order to achieve 200-micrometer resolution. Unlike a classic camera, the proposed turbulence-free CCD camera system has adequate spatial resolution zoom a long distance and still distinguish the objects within a small area, even with a small lens.",Baltimore,US,University of Maryland Baltimore County,"15/270,781",MD,"Baltimore, MD",UNIVERSITY OF MARYLAND BALTIMORE COUNTY,"['H04N', 'G01N', 'G02B', 'G06K', 'G06T', 'G01J']",1000004138616,"September 20, 2016","[['Yanhua', 'Shih', 'Ellicott City, MD'], ['Hui', 'Chen', 'Baltimore, MD'], ['Tao', 'Peng', 'Catonsville, MD']]","July 9, 2019",Turbulence-free camera system and related method of image enhancement,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=11&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
10348514,"A lighting system includes lighting devices and an update manager. The lighting devices include various hardware versions and/or functionalities. The lighting devices are queried to determine existing hardware versions and/or functionalities. The query is sent via a wireless mesh network of the lighting system. An Over-The-Air (OTA) update includes multiple different lighting device programming images, where each image corresponds to one of the existing hardware versions and/or functionalities. The OTA update is delivered via point-to-point connections between the update manager and some number of lighting devices and/or between the lighting devices. Upon receipt, individual lighting devices determine whether a lighting device programming image is needed and/or which of the lighting device programming images is appropriate.",Conyers,US,ABL IP HOLDING LLC,"15/334,768",GA,"Conyers, GA",ABL IP HOLDING LLC,"['H04L', 'G05B', 'H04W', 'H05B']",1000004138199,"October 26, 2016","[['Sajin', 'George', 'Somerville, MA'], ['Emanuel Paul', 'Malandrakis', 'Boston, MA'], ['Kenneth', 'Young', 'Conyers, GA'], ['Maarten', 'Lepelaars', 'Eindhoven, NL']]","July 9, 2019",Mesh over-the-air (OTA) driver update using site profile based multiple platform image,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=12&p=1&f=G&l=50&d=PTXT&S1=drone&OS=drone&RS=drone
