,distance,patent_number
0,0.0,10349422
5914,0.0,9642527
5913,0.0,9888852
5912,0.0,9931035
5911,0.0,9888851
5910,0.0,9895061
5906,0.0,9934020
5905,0.0,9952851
15285,0.0,8690391
15286,0.0,8342714
5901,0.0,9935644
5900,0.0,9543973
5895,0.0,9936448
15300,0.0,7502380
5890,0.0,9936455
5885,0.0,9939913
15310,0.0,7367901
5881,0.0,10305695
5880,0.0,9942051
15315,0.0,7318330
15320,0.0,7187961
15325,0.0,7112806
15330,0.0,6974665
5875,0.0,9942055
15335,0.0,6967924
5870,0.0,9942871
5915,0.0,9930697
15340,0.0,6870854
15280,0.0,8439534
15275,0.0,8690391
5957,0.0,10341948
5956,0.0,9924457
5955,0.0,10341948
15240,0.0,10085331
15241,0.0,9936566
15242,0.0,9210779
15245,0.0,9198262
5950,0.0,9928309
15246,0.0,9635737
15247,0.0,9883563
15250,0.0,10050800
5945,0.0,9929577
15251,0.0,9083769
15255,0.0,9068707
5941,0.0,9929740
5940,0.0,9614539
5935,0.0,9930240
5930,0.0,9930477
15260,0.0,10007929
5926,0.0,9554304
5925,0.0,9930575
15261,0.0,8924255
15265,0.0,8860311
5920,0.0,9930686
15270,0.0,8691667
15276,0.0,8342714
5960,0.0,9924345
5865,0.0,9942883
5861,0.0,9943046
5810,0.0,9949547
5805,0.0,9949552
5803,0.0,9848174
5802,0.0,9950435
5801,0.0,10220529
5800,0.0,9950434
15390,0.0,10356965
5798,0.0,9848174
5797,0.0,9950435
5796,0.0,10220529
5795,0.0,9950434
5790,0.0,9952590
5786,0.0,9934020
5785,0.0,9952851
15395,0.0,10356899
15400,0.0,10356888
5780,0.0,9953151
15405,0.0,10356873
15410,0.0,10356743
5775,0.0,9955291
15415,0.0,10356717
5771,0.0,9432816
5770,0.0,9955302
15420,0.0,10356673
15425,0.0,10356658
15385,0.0,5903544
15341,0.0,6122252
5815,0.0,9949344
15380,0.0,6041038
5860,0.0,10299447
5856,0.0,9943760
5855,0.0,9523767
15345,0.0,6850485
5850,0.0,9948351
5849,0.0,9806796
5848,0.0,9948382
5847,0.0,10069561
5846,0.0,10205515
5845,0.0,9461735
15350,0.0,6799518
5842,0.0,10171979
5841,0.0,9949065
5840,0.0,10299098
5836,0.0,9525974
5835,0.0,9949084
15355,0.0,6767406
15360,0.0,6327244
5830,0.0,9949141
15365,0.0,6312693
5825,0.0,9949204
15370,0.0,6144636
15375,0.0,6870854
15376,0.0,6122252
5820,0.0,9949205
5816,0.0,10194506
5965,0.0,9924316
5970,0.0,9924304
15231,0.0,9652949
15135,0.0,9571903
6105,0.0,9891253
15140,0.0,10339557
15141,0.0,9558504
6102,0.0,9894482
6101,0.0,9282546
6100,0.0,10194431
6099,0.0,9642527
6098,0.0,9888852
6097,0.0,9931035
6096,0.0,9888851
6095,0.0,9895061
6094,0.0,9642527
6093,0.0,9888852
6092,0.0,9931035
6091,0.0,9888851
6090,0.0,9895061
15142,0.0,10339557
15143,0.0,10019725
15144,0.0,9741052
15145,0.0,9554447
6085,0.0,9900243
15150,0.0,9543475
15155,0.0,9536452
6075,0.0,9900858
6110,0.0,9895061
6070,0.0,9900926
6111,0.0,9888851
6113,0.0,9888852
15115,0.0,9596739
6140,0.0,9888313
15120,0.0,9591336
15125,0.0,10082284
15126,0.0,9581323
15127,0.0,9897304
15130,0.0,9571974
6131,0.0,9888366
6130,0.0,9521192
6129,0.0,9642527
6128,0.0,9888852
6127,0.0,9931035
6126,0.0,9888851
6125,0.0,9895061
6124,0.0,9642527
6123,0.0,9888852
6122,0.0,9931035
6121,0.0,9888851
6120,0.0,9895061
6119,0.0,9642527
6118,0.0,9888852
6117,0.0,9931035
6116,0.0,9888851
6115,0.0,9895061
6114,0.0,9642527
6112,0.0,9931035
6066,0.0,10349498
6065,0.0,9900967
15156,0.0,10130548
15207,0.0,10339557
6015,0.0,9911308
6011,0.0,9602998
6010,0.0,9913109
15208,0.0,10019725
15209,0.0,9741052
15210,0.0,9795858
6006,0.0,9913116
6005,0.0,10225701
15211,0.0,9398213
15215,0.0,9343066
15216,0.0,10042821
15220,0.0,10129965
6000,0.0,9913230
15221,0.0,9338864
15225,0.0,9326359
5990,0.0,9913317
15230,0.0,9305441
5985,0.0,9923547
5982,0.0,9374402
5981,0.0,9923935
5980,0.0,9628568
5977,0.0,9654565
5976,0.0,9635112
5975,0.0,9923963
15206,0.0,9558504
15205,0.0,10339557
15200,0.0,9417090
6020,0.0,9908488
6060,0.0,9906045
15157,0.0,10016334
15160,0.0,9525486
15165,0.0,9509944
6055,0.0,9906227
6051,0.0,9876544
6050,0.0,9906282
15170,0.0,9502018
15175,0.0,9498678
6045,0.0,9906285
15180,0.0,9474933
15185,0.0,9997001
5766,0.0,10188193
15186,0.0,10115254
6040,0.0,9906893
15188,0.0,9858741
6035,0.0,9906916
15189,0.0,9466163
15190,0.0,9425954
6030,0.0,9907042
15191,0.0,9660803
15195,0.0,9997001
15196,0.0,10115254
15197,0.0,9424699
15198,0.0,9858741
15199,0.0,9466163
15187,0.0,9424699
6145,0.0,9888300
5765,0.0,9955769
5755,0.0,9961484
5460,0.0,10028324
15755,0.0,10355004
15760,0.0,10354774
5455,0.0,10031591
15775,0.0,10354678
15780,0.0,10354644
5450,0.0,10033495
15785,0.0,10354642
15790,0.0,10354558
5445,0.0,10034160
15795,0.0,10354554
15800,0.0,10354551
5440,0.0,10034218
5435,0.0,10034239
5431,0.0,10034329
5430,0.0,10104680
15805,0.0,10354530
5425,0.0,10039107
5421,0.0,10039123
5420,0.0,9320054
5415,0.0,10039147
15810,0.0,10354520
15815,0.0,10354517
15820,0.0,10354515
15825,0.0,10354511
5465,0.0,10028309
5410,0.0,10045280
5470,0.0,10028124
5475,0.0,10028077
5530,0.0,10009430
15695,0.0,10355488
15700,0.0,10355425
5525,0.0,10009774
15705,0.0,10355367
5520,0.0,10009862
5516,0.0,10012985
5515,0.0,9394016
15710,0.0,10355365
15715,0.0,10355336
5511,0.0,10235850
5510,0.0,10013858
5505,0.0,10015745
5500,0.0,10015812
15720,0.0,10355319
15725,0.0,10355215
5495,0.0,10025636
15730,0.0,10355213
15735,0.0,10355199
15740,0.0,10355136
5490,0.0,10026073
5485,0.0,10027442
5480,0.0,10027452
15745,0.0,10312315
15746,0.0,10355067
15750,0.0,10355013
5535,0.0,10008013
15835,0.0,10354506
15840,0.0,10354505
15930,0.0,10354407
5335,0.0,10063929
15935,0.0,10354404
5331,0.0,9451425
5330,0.0,10064026
15940,0.0,10354401
15945,0.0,10354396
5325,0.0,10066982
15950,0.0,10354341
15955,0.0,10354334
5320,0.0,10067688
5319,0.0,9806796
5318,0.0,9948382
5317,0.0,10069561
5316,0.0,10205515
5315,0.0,9461735
15960,0.0,10354327
5310,0.0,10069883
15965,0.0,10354325
15970,0.0,10354321
15975,0.0,10354317
5305,0.0,10069899
15980,0.0,10354316
15985,0.0,10354315
5295,0.0,10070313
15925,0.0,10354412
5405,0.0,10045296
5340,0.0,10062073
15915,0.0,10354435
15845,0.0,10354502
5400,0.0,10045354
15850,0.0,10354500
5395,0.0,10045369
15855,0.0,10354498
15860,0.0,10354493
5385,0.0,10050679
15865,0.0,10354492
15870,0.0,10354490
15875,0.0,10354474
5380,0.0,10051076
15880,0.0,10354472
15885,0.0,10354467
5376,0.0,10051417
5375,0.0,9369847
15890,0.0,10354466
15895,0.0,10354465
5370,0.0,10051450
5365,0.0,10051664
5360,0.0,10051676
15900,0.0,10354460
15905,0.0,10354455
5355,0.0,10056786
5350,0.0,10056960
5345,0.0,10057382
15920,0.0,10354425
15685,0.0,10355534
5540,0.0,10007325
15680,0.0,10355615
5701,0.0,9967292
5700,0.0,9967292
15495,0.0,10356499
15500,0.0,10356497
5697,0.0,9967646
5696,0.0,10313775
5695,0.0,10165346
15505,0.0,10356495
15510,0.0,10356476
5690,0.0,9967960
15515,0.0,10356468
5681,0.0,9584945
5680,0.0,9973872
5675,0.0,9974023
15520,0.0,10356398
15525,0.0,10356322
5671,0.0,9974105
5670,0.0,9516687
5669,0.0,9642527
5668,0.0,9888852
5667,0.0,9931035
5666,0.0,9888851
5665,0.0,9895061
