,distance,patent_num,abstract,url,title
0,0.8505178468088147,10312570,"A machine part number of an industrial machine is scanned when the machine enters a facility for maintenance. The scanned number is associated with components that comprise the machine and with characteristics of the components or machine. Based upon the characteristics of the machine or components, a customized maintenance route is produced for the machine through the facility. The customized maintenance route specifies a sequence of maintenance actions and timing of these actions for the machine that are adjusted in real-time as the characteristics change.",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1582&f=G&l=50&d=PTXT&s1=RFID&p=32&OS=RFID&RS=RFID,Apparatus and method for maintaining a machine
5,0.8609666854098016,9697051,"In one embodiment, a learning data processor determines a plurality of machine learning features in a computer network to collect. Upon receiving data corresponding to the plurality of features, the learning data processor may aggregate the data, and pushes the aggregated data for select features to interested learning machines associated with the computer network.",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=582&f=G&l=50&d=PTXT&s1=MANET&p=12&OS=MANET&RS=MANET,Learning data processor for distributing learning machines across large-scale network infrastructures
6,1.0105394106625316,9497215,"In one embodiment, a machine learning model for predicting one or more metrics is run in a network which includes a centralized controller device interconnected with a plurality of edge devices. A batch version of the machine learning model that operates in batch mode is hosted at the centralized controller device. Then, an incremental version of the machine learning model that operates in incremental mode is pushed to an edge device of the plurality of edge devices, such that the incremental version of the machine learning model is hosted at the edge device. As a result, the batch version and the incremental version of the machine learning model run in parallel with one another.",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=814&f=G&l=50&d=PTXT&s1=MANET&p=17&OS=MANET&RS=MANET,Hierarchical hybrid batch-incremental learning
7,1.0174495340183198,10351000,"A modular learning system is provided for providing notifications to users of the modular learning system. The modular learning system includes a variety of types of users interacting with the modular learning system and with one another. The modular learning system enables users to create learning applications, purchase learning application, perform learning applications, and interact with one another to accomplish these tasks. The modular learning system maintains activity items related to these actions on the modular learning system. These activity items include a description of the activities performed as well as user roles entitled to view information about the activity item. When a user requests a notification from the system, the system identifies the user's role in the system and activity items that may be viewed by that user role.",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=246&f=G&l=50&d=PTXT&s1=Cache&p=5&OS=Cache&RS=Cache,Role based notifications in a modular learning system
1,1.0223689259856796,10356187,"Some embodiments provide a method for automated configuration of a set of resources for hosting a virtual machine at a particular node in a hosting system. The hosting system includes several nodes for hosting virtual machines. The method, at a first virtual machine operating using a first set of resources of the particular node, receives a user-specified virtual machine configuration for a second virtual machine to be hosted on a second set of resources of the particular node. The method retrieves, to the first virtual machine, a software image from a computer readable hardware medium storing several software images based on the user-specified virtual machine configuration. The method modifies the retrieved software image according to the user-specified virtual machine configuration. The method configures the second set resources using the modified software image.",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=89&f=G&l=50&d=PTXT&s1=Firewall&p=2&OS=Firewall&RS=Firewall,Automated system and method to customize and install virtual machine configurations for hosting in a hosting environment
2,1.0250943473202538,10362077,"A banking system that utilizes metrics in acquiring and processing event data related to financial transaction activity at a plurality of automated banking machines. Automated banking machine include sensors able to detect event data during a transaction. The event data can include transaction data related to the type of transaction, time analysis data related to duration of the transaction, and operational data related to machine components used in carrying out the transaction. The event data for automated banking machines can be obtained, analyzed, and stored. Statistical averages associated with the banking system machines can be determined in real time. The averages allow a respective machine to be compared to other machines with respect to operational efficiency. An alert can be issued concerning a statistical anomaly regarding the respective machine.",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=638&f=G&l=50&d=PTXT&s1=Sensor&p=13&OS=Sensor&RS=Sensor,Time analysis of a banking system
3,1.0333105082885927,10356306,"A method and system provides access control for sensitive data. An access control system defines a plurality of access policies for gaining access to the sensitive data. Each access policy includes a plurality of rules that indicate whether or not a client machine can gain access to an initial access secret under the policy. If a client machine requests access to the sensitive data, the access control system checks to see if the client machine satisfies the rules of the access policy. If the characteristics of the client machine satisfy the rules of the access policy, then the access control system provides a ticket to the client machine and instructs the client machine to write the ticket to a client machine information database. If the client machine writes the ticket to the client machine information database, then the access control system provides an initial access secret to the client machine.",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=78&f=G&l=50&d=PTXT&s1=Firewall&p=2&OS=Firewall&RS=Firewall,Authorization to access a server in the cloud without obtaining an initial secret
8,1.0408528298448922,10360050,"A learning model is constructed for adjusting control information so that a cycle time becomes shorter while also avoiding the occurrence of overheating. A learning model construction device includes: an input data acquisition means that acquires, as input data, control information including a combination of an operation pattern of a spindle and parameters related to machining in a machine tool, and temperature information of the spindle prior to performing the machining based on the control information; a label acquisition means for acquiring temperature information of the spindle after having performed the machining based on the control information as a label; and a learning model construction means for constructing a learning model for temperature information of the spindle after having performed machining based on the control information, by performing supervised learning with a group of the input data and the label as training data.",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=892&f=G&l=50&d=PTXT&s1=Sensor&p=18&OS=Sensor&RS=Sensor,"Learning model construction device, and control information optimization device"
4,1.0466997390675148,10301644,"Systems and methods for initiating a forced migration of a virtual machine. An exemplary embodiment can provide a subnet manager (SM) and an active virtual machine registration cache, where the subnet manager can access the active virtual machine registration cache. The SM can record a first virtual machine incarnation number in the active virtual machine registration cache, where the virtual machine incarnation number is associated with an active virtual machine (VM). Upon receiving a request to register the active VM on a different host, the SM can evaluate a second virtual machine incarnation number with the first virtual machine incarnation number to determine the legality of the request. In accordance with an embodiment, if the second virtual machine incarnation number is evaluated as greater than the first virtual machine incarnation number, the SM determines the request is legal.",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1939&f=G&l=50&d=PTXT&s1=Cache&p=39&OS=Cache&RS=Cache,System and method for initiating a forced migration of a virtual machine in a high-performance computing environment
9,1.0692812553839628,9582166,"In one embodiment, techniques are shown and described relating to a point-to-multipoint communication infrastructure for expert-based knowledge feed-back using learning machines. A learning machine may communicate an expert discovery request into a network to discover one or more experts, and then receive from the one or more experts, one or more expert discovery responses. Based on the one or more received expert discovery responses, the learning machine may then build a dynamic multicast tree of experts to assist the learning machine in a computer network.",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=714&f=G&l=50&d=PTXT&s1=MANET&p=15&OS=MANET&RS=MANET,Point-to-multipoint communication infrastructure for expert-based knowledge feed-back using learning machines
